campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Amistosos 1919 ,"28 de dezembro de 1919, 16:00",União Artística e Recreativa do Cambuci,0,2,Corinthians,"Rua Cesário Ramalho, São Paulo, SP."
Paulista 1919 ,"21 de dezembro de 1919, 16:00",Paulistano,4,1,Corinthians,"Estádio Jardim América, São Paulo, SP."
Paulista 1919 ,"07 de dezembro de 1919, 16:00",Corinthians,6,1,Internacional da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"30 de novembro de 1919, 16:00",Corinthians,4,0,Ypiranga,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"23 de novembro de 1919, 16:00",Mackenzie,0,4,Corinthians,"Avenida Água Branca, São Paulo, SP."
Amistosos 1919 ,"16 de novembro de 1919, 16:00",Guarani,2,4,Corinthians,"Hipódromo Campineiro, Campinas, SP."
Amistosos 1919 ,"15 de novembro de 1919, 16:00",Amparo Athlético Club,0,3,Corinthians,"Vila Luíz Leite, Amparo, SP."
Paulista 1919 ,"09 de novembro de 1919, 16:00",Palmeiras,0,1,Corinthians,"Palestra Itália, São Paulo, SP."
Paulista 1919 ,"19 de outubro de 1919, 16:00",Corinthians,5,2,Associação Atlética das Palmeiras,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"12 de outubro de 1919, 16:00",Corinthians,5,0,São Bento da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"28 de setembro de 1919, 16:00",Minas Gerais-SP,1,5,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1919 ,"21 de setembro de 1919, 16:00",Corinthians,5,0,Santos,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"07 de setembro de 1919, 16:00",Associação Atlética das Palmeiras,0,3,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1919 ,"31 de agosto de 1919, 16:00",Corinthians,4,2,Mackenzie,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"24 de agosto de 1919, 16:00",Corinthians,1,0,São Bento da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"03 de agosto de 1919, 16:00",Corinthians,3,3,Paulistano,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"27 de julho de 1919, 16:00",Corinthians,1,1,Internacional da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1919 ,"22 de junho de 1919, 16:00",Corinthians,4,0,Minas Gerais-SP,"Ponte Grande, São Paulo, SP."
Amistosos 1919 ,"13 de maio de 1919, 16:00",Palmeiras,2,1,Corinthians,"Estádio da Floresta, São Paulo, SP."
Amistosos 1919 ,"03 de maio de 1919, 16:00",Corinthians,3,2,Palmeiras,"Estádio da Floresta, São Paulo, SP."
Amistosos 1919 ,"20 de abril de 1919, 16:00",Ypiranga,1,3,Corinthians,"Avenida Água Branca, São Paulo, SP."
Amistosos 1919 ,"30 de março de 1919, 16:00",União Brasil,0,2,Corinthians,"Rua Müller nº 57, São Paulo, SP."
