campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Brasileirão 2023 ,"02 de julho de 2023, 11:00",Corinthians,0,1,Red Bull Bragantino,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"28 de junho de 2023, 21:30",Corinthians,3,0,Liverpool,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"24 de junho de 2023, 16:00",Athletico-PR,1,0,Corinthians,"Arena da Baixada, Curitiba, PR."
Brasileirão 2023 ,"21 de junho de 2023, 20:00",Santos,0,2,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2023 ,"10 de junho de 2023, 18:30",Corinthians,1,1,Cuiabá,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"07 de junho de 2023, 19:00",Independiente Del Valle,3,0,Corinthians,"Estádio Banco Guayaquil, Quito, Equador."
Brasileirão 2023 ,"03 de junho de 2023, 18:30",América-MG,2,0,Corinthians,"Independência, Belo Horizonte, MG."
Copa do Brasil 2023 ,"31 de maio de 2023, 21:30",Corinthians,2,0,Atlético-MG,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"28 de maio de 2023, 16:00",Corinthians,2,0,Fluminense,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"24 de maio de 2023, 21:30",Argentinos Juniors,0,0,Corinthians,"Estádio Diego Armando Maradona, Buenos Aires, Argentina."
Brasileirão 2023 ,"21 de maio de 2023, 16:00",Flamengo,1,0,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Copa do Brasil 2023 ,"17 de maio de 2023, 21:30",Atlético-MG,2,0,Corinthians,"Mineirão, Belo Horizonte, MG."
Brasileirão 2023 ,"14 de maio de 2023, 16:00",Corinthians,1,1,São Paulo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"11 de maio de 2023, 19:30",Botafogo,3,0,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2023 ,"08 de maio de 2023, 20:00",Corinthians,1,1,Fortaleza,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"02 de maio de 2023, 21:00",Corinthians,1,2,Independiente Del Valle,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"29 de abril de 2023, 18:30",Palmeiras,2,1,Corinthians,"Allianz Parque, São Paulo, SP."
Copa do Brasil 2023 ,"26 de abril de 2023, 21:30",Corinthians,2,0,Remo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"23 de abril de 2023, 19:00",Goiás,3,1,Corinthians,"Estádio da Serrinha, Goiânia, GO."
Libertadores 2023 ,"19 de abril de 2023, 21:30",Corinthians,0,1,Argentinos Juniors,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"16 de abril de 2023, 16:00",Corinthians,2,1,Cruzeiro,"Neo Química Arena, São Paulo, SP."
Copa do Brasil 2023 ,"12 de abril de 2023, 21:30",Remo,2,0,Corinthians,"Mangueirão, Belém, PA."
Libertadores 2023 ,"06 de abril de 2023, 19:00",Liverpool,0,3,Corinthians,"Centenário, Montevidéu, Uruguai."
Paulista 2023 ,"12 de março de 2023, 16:00",Corinthians,1,1,Ituano,"Neo Química Arena, São Paulo, SP."
Paulista 2023 ,"04 de março de 2023, 18:30",Corinthians,3,1,Santo André,"Neo Química Arena, São Paulo, SP."
Paulista 2023 ,"26 de fevereiro de 2023, 16:00",Santos,2,2,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 2023 ,"19 de fevereiro de 2023, 18:30",Corinthians,3,0,Mirassol,"Neo Química Arena, São Paulo, SP."
Paulista 2023 ,"16 de fevereiro de 2023, 21:30",Corinthians,2,2,Palmeiras,"Neo Química Arena, São Paulo, SP."
Paulista 2023 ,"12 de fevereiro de 2023, 16:00",Portuguesa,0,0,Corinthians,"Mané Garrincha, Brasília, DF."
Paulista 2023 ,"09 de fevereiro de 2023, 21:30",São Bernardo FC,2,0,Corinthians,"Primeirão, São Bernardo do Campo, SP."
Paulista 2023 ,"05 de fevereiro de 2023, 18:30",Corinthians,2,0,Botafogo-SP,"Neo Química Arena, São Paulo, SP."
Paulista 2023 ,"29 de janeiro de 2023, 18:30",São Paulo,1,2,Corinthians,"Morumbi, São Paulo, SP."
Paulista 2023 ,"24 de janeiro de 2023, 20:00",Corinthians,2,1,Guarani,"Neo Química Arena, São Paulo, SP."
Paulista 2023 ,"21 de janeiro de 2023, 18:30",Inter de Limeira,0,0,Corinthians,"Limeirão, Limeira, SP."
Paulista 2023 ,"18 de janeiro de 2023, 19:30",Corinthians,3,0,Água Santa,"Neo Química Arena, São Paulo, SP."
Paulista 2023 ,"15 de janeiro de 2023, 16:00",Red Bull Bragantino,1,0,Corinthians,"Nabi Abi, Bragança Paulista, SP."
Brasileirão 2022 ,"13 de novembro de 2022, 16:00",Corinthians,0,1,Atlético-MG,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"09 de novembro de 2022, 19:00",Coritiba,2,2,Corinthians,"Couto Pereira, Curitiba, PR."
Brasileirão 2022 ,"05 de novembro de 2022, 20:30",Corinthians,1,0,Ceará,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"02 de novembro de 2022, 21:30",Flamengo,1,2,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2022 ,"29 de outubro de 2022, 19:30",Goiás,0,0,Corinthians,"Estádio da Serrinha, Goiânia, GO."
Brasileirão 2022 ,"26 de outubro de 2022, 21:45",Corinthians,0,2,Fluminense,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"22 de outubro de 2022, 19:00",Santos,0,1,Corinthians,"Vila Belmiro, Santos, SP."
Copa do Brasil 2022 ,"19 de outubro de 2022, 21:45",Flamengo,1,1,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Copa do Brasil 2022 ,"12 de outubro de 2022, 21:45",Corinthians,0,0,Flamengo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"08 de outubro de 2022, 21:00",Corinthians,2,1,Athletico-PR,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"04 de outubro de 2022, 21:30",Juventude,2,2,Corinthians,"Alfredo Jaconi, Caxias do Sul, RS."
Brasileirão 2022 ,"01 de outubro de 2022, 21:00",Corinthians,2,0,Cuiabá,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"28 de setembro de 2022, 19:00",Corinthians,2,1,Atlético-GO,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"18 de setembro de 2022, 18:00",América-MG,1,0,Corinthians,"Independência, Belo Horizonte, MG."
Copa do Brasil 2022 ,"15 de setembro de 2022, 20:00",Corinthians,3,0,Fluminense,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"11 de setembro de 2022, 16:00",São Paulo,1,1,Corinthians,"Morumbi, São Paulo, SP."
Brasileirão 2022 ,"04 de setembro de 2022, 16:00",Corinthians,2,2,Internacional,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"29 de agosto de 2022, 21:30",Corinthians,1,0,Red Bull Bragantino,"Neo Química Arena, São Paulo, SP."
Copa do Brasil 2022 ,"24 de agosto de 2022, 19:30",Fluminense,2,2,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2022 ,"21 de agosto de 2022, 18:00",Fortaleza,1,0,Corinthians,"Castelão, Fortaleza, CE."
Copa do Brasil 2022 ,"17 de agosto de 2022, 21:30",Corinthians,4,1,Atlético-GO,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"13 de agosto de 2022, 19:00",Corinthians,0,1,Palmeiras,"Neo Química Arena, São Paulo, SP."
Libertadores 2022 ,"09 de agosto de 2022, 21:30",Flamengo,1,0,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2022 ,"06 de agosto de 2022, 19:00",Avaí,1,1,Corinthians,"Ressacada, Florianópolis, SC."
Libertadores 2022 ,"02 de agosto de 2022, 21:30",Corinthians,0,2,Flamengo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"30 de julho de 2022, 19:00",Corinthians,1,0,Botafogo,"Neo Química Arena, São Paulo, SP."
Copa do Brasil 2022 ,"27 de julho de 2022, 21:30",Atlético-GO,2,0,Corinthians,"Castelo do Dragão, Goiânia, GO."
Brasileirão 2022 ,"24 de julho de 2022, 18:00",Atlético-MG,1,2,Corinthians,"Mineirão, Belo Horizonte, MG."
Brasileirão 2022 ,"20 de julho de 2022, 21:30",Corinthians,3,1,Coritiba,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"16 de julho de 2022, 21:00",Ceará,3,1,Corinthians,"Castelão, Fortaleza, CE."
Copa do Brasil 2022 ,"13 de julho de 2022, 21:30",Santos,1,0,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2022 ,"10 de julho de 2022, 16:00",Corinthians,1,0,Flamengo,"Neo Química Arena, São Paulo, SP."
Libertadores 2022 ,"05 de julho de 2022, 21:30",Boca Juniors,0,0,Corinthians,"La Bombonera, Buenos Aires, Argentina."
Brasileirão 2022 ,"02 de julho de 2022, 16:30",Fluminense,4,0,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Libertadores 2022 ,"28 de junho de 2022, 21:30",Corinthians,0,0,Boca Juniors,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"25 de junho de 2022, 19:00",Corinthians,0,0,Santos,"Neo Química Arena, São Paulo, SP."
Copa do Brasil 2022 ,"22 de junho de 2022, 21:30",Corinthians,4,0,Santos,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"19 de junho de 2022, 16:00",Corinthians,1,0,Goiás,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"15 de junho de 2022, 21:30",Athletico-PR,1,1,Corinthians,"Arena da Baixada, Curitiba, PR."
Brasileirão 2022 ,"11 de junho de 2022, 16:30",Corinthians,2,0,Juventude,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"07 de junho de 2022, 21:30",Cuiabá,1,0,Corinthians,"Arena Pantanal, Cuiabá, MT."
Brasileirão 2022 ,"04 de junho de 2022, 20:30",Atlético-GO,0,1,Corinthians,"Castelo do Dragão, Goiânia, GO."
Brasileirão 2022 ,"29 de maio de 2022, 18:00",Corinthians,1,1,América-MG,"Neo Química Arena, São Paulo, SP."
Libertadores 2022 ,"26 de maio de 2022, 21:00",Corinthians,1,1,Always Ready,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"22 de maio de 2022, 16:00",Corinthians,1,1,São Paulo,"Neo Química Arena, São Paulo, SP."
Libertadores 2022 ,"17 de maio de 2022, 21:30",Boca Juniors,1,1,Corinthians,"La Bombonera, Buenos Aires, Argentina."
Brasileirão 2022 ,"14 de maio de 2022, 19:00",Internacional,2,2,Corinthians,"Beira Rio, Porto Alegre, RS."
Copa do Brasil 2022 ,"11 de maio de 2022, 21:30",Corinthians,2,0,Portuguesa-RJ,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"08 de maio de 2022, 18:00",Red Bull Bragantino,0,1,Corinthians,"Nabi Abi, Bragança Paulista, SP."
Libertadores 2022 ,"04 de maio de 2022, 21:00",Deportivo Cali,0,0,Corinthians,"Deportivo Cali, Palmira, Colômbia."
Brasileirão 2022 ,"01 de maio de 2022, 16:00",Corinthians,1,0,Fortaleza,"Neo Química Arena, São Paulo, SP."
Libertadores 2022 ,"26 de abril de 2022, 21:30",Corinthians,2,0,Boca Juniors,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"23 de abril de 2022, 19:00",Palmeiras,3,0,Corinthians,"Arena Barueri, Barueri, SP."
Copa do Brasil 2022 ,"20 de abril de 2022, 21:30",Portuguesa-RJ,1,1,Corinthians,"Estádio do Café, Londrina, PR."
Brasileirão 2022 ,"16 de abril de 2022, 19:00",Corinthians,3,0,Avaí,"Neo Química Arena, São Paulo, SP."
Libertadores 2022 ,"13 de abril de 2022, 21:00",Corinthians,1,0,Deportivo Cali,"Neo Química Arena, São Paulo, SP."
Brasileirão 2022 ,"10 de abril de 2022, 16:00",Botafogo,1,3,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Libertadores 2022 ,"05 de abril de 2022, 21:30",Always Ready,2,0,Corinthians,"Hernando Siles, La Paz, Bolívia."
Paulista 2022 ,"27 de março de 2022, 16:00",São Paulo,2,1,Corinthians,"Morumbi, São Paulo, SP."
Paulista 2022 ,"24 de março de 2022, 19:00",Corinthians,1,1,Guarani,"Neo Química Arena, São Paulo, SP."
Paulista 2022 ,"20 de março de 2022, 16:00",Novorizontino,0,1,Corinthians,"Jorjão, Novo Horizonte, SP."
Paulista 2022 ,"17 de março de 2022, 20:30",Palmeiras,2,1,Corinthians,"Allianz Parque, São Paulo, SP."
Paulista 2022 ,"12 de março de 2022, 18:30",Corinthians,5,0,Ponte Preta,"Neo Química Arena, São Paulo, SP."
Paulista 2022 ,"05 de março de 2022, 16:00",São Paulo,1,0,Corinthians,"Morumbi, São Paulo, SP."
Paulista 2022 ,"27 de fevereiro de 2022, 11:00",Corinthians,1,0,Red Bull Bragantino,"Neo Química Arena, São Paulo, SP."
Paulista 2022 ,"19 de fevereiro de 2022, 18:30",Botafogo-SP,1,1,Corinthians,"Santa Cruz, Ribeirão Preto, SP."
Paulista 2022 ,"16 de fevereiro de 2022, 21:30",Corinthians,3,0,São Bernardo FC,"Neo Química Arena, São Paulo, SP."
Paulista 2022 ,"10 de fevereiro de 2022, 21:30",Corinthians,2,1,Mirassol,"Neo Química Arena, São Paulo, SP."
Paulista 2022 ,"06 de fevereiro de 2022, 18:30",Ituano,2,3,Corinthians,"Novelli Junior, Itu, SP."
Paulista 2022 ,"02 de fevereiro de 2022, 21:35",Corinthians,1,2,Santos,"Neo Química Arena, São Paulo, SP."
Paulista 2022 ,"30 de janeiro de 2022, 18:30",Santo André,0,1,Corinthians,"Bruno José, Santo André, SP."
Paulista 2022 ,"25 de janeiro de 2022, 21:00",Corinthians,0,0,Ferroviária,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"09 de dezembro de 2021, 21:30",Juventude,1,0,Corinthians,"Alfredo Jaconi, Caxias do Sul, RS."
Brasileirão 2021 ,"05 de dezembro de 2021, 16:00",Corinthians,1,1,Grêmio,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"28 de novembro de 2021, 16:00",Corinthians,1,0,Athletico-PR,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"25 de novembro de 2021, 20:00",Ceará,2,1,Corinthians,"Castelão, Fortaleza, CE."
Brasileirão 2021 ,"21 de novembro de 2021, 16:00",Corinthians,2,0,Santos,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"17 de novembro de 2021, 21:30",Flamengo,1,0,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2021 ,"13 de novembro de 2021, 21:00",Corinthians,3,2,Cuiabá,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"10 de novembro de 2021, 19:00",Atlético-MG,3,0,Corinthians,"Mineirão, Belo Horizonte, MG."
Brasileirão 2021 ,"06 de novembro de 2021, 17:00",Corinthians,1,0,Fortaleza,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"01 de novembro de 2021, 21:30",Corinthians,1,0,Chapecoense,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"24 de outubro de 2021, 16:00",Internacional,2,2,Corinthians,"Beira Rio, Porto Alegre, RS."
Brasileirão 2021 ,"18 de outubro de 2021, 20:00",São Paulo,1,0,Corinthians,"Morumbi, São Paulo, SP."
Brasileirão 2021 ,"13 de outubro de 2021, 21:00",Corinthians,1,0,Fluminense,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"09 de outubro de 2021, 16:30",Sport,1,0,Corinthians,"Arena Pernambuco, São Lourenço da Mata, PE."
Brasileirão 2021 ,"05 de outubro de 2021, 21:30",Corinthians,3,1,Bahia,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"02 de outubro de 2021, 19:00",Red Bull Bragantino,2,2,Corinthians,"Nabi Abi, Bragança Paulista, SP."
Brasileirão 2021 ,"25 de setembro de 2021, 19:00",Corinthians,2,1,Palmeiras,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"19 de setembro de 2021, 18:15",Corinthians,1,1,América-MG,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"12 de setembro de 2021, 18:15",Atlético-GO,1,1,Corinthians,"Castelo do Dragão, Goiânia, GO."
Brasileirão 2021 ,"07 de setembro de 2021, 21:30",Corinthians,1,1,Juventude,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"28 de agosto de 2021, 21:00",Grêmio,0,1,Corinthians,"Arena do Grêmio, Porto Alegre, RS."
Brasileirão 2021 ,"22 de agosto de 2021, 16:00",Athletico-PR,0,1,Corinthians,"Arena da Baixada, Curitiba, PR."
Brasileirão 2021 ,"15 de agosto de 2021, 16:00",Corinthians,3,1,Ceará,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"08 de agosto de 2021, 16:00",Santos,0,0,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2021 ,"01 de agosto de 2021, 16:00",Corinthians,1,3,Flamengo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"26 de julho de 2021, 20:00",Cuiabá,1,2,Corinthians,"Arena Pantanal, Cuiabá, MT."
Brasileirão 2021 ,"17 de julho de 2021, 19:00",Corinthians,1,2,Atlético-MG,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"11 de julho de 2021, 20:30",Fortaleza,1,0,Corinthians,"Castelão, Fortaleza, CE."
Brasileirão 2021 ,"08 de julho de 2021, 21:00",Chapecoense,0,1,Corinthians,"Arena Condá, Chapecó, SC."
Brasileirão 2021 ,"03 de julho de 2021, 21:00",Corinthians,1,1,Internacional,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"30 de junho de 2021, 21:30",Corinthians,0,0,São Paulo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"27 de junho de 2021, 16:00",Fluminense,1,1,Corinthians,"São Januário, Rio de Janeiro, RJ."
Brasileirão 2021 ,"24 de junho de 2021, 19:00",Corinthians,2,1,Sport,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"20 de junho de 2021, 16:00",Bahia,0,0,Corinthians,"Pituaçu, Salvador, BA."
Brasileirão 2021 ,"16 de junho de 2021, 20:30",Corinthians,1,2,Red Bull Bragantino,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"12 de junho de 2021, 19:00",Palmeiras,1,1,Corinthians,"Allianz Parque, São Paulo, SP."
Copa do Brasil 2021 ,"09 de junho de 2021, 21:30",Atlético-GO,0,0,Corinthians,"Castelo do Dragão, Goiânia, GO."
Brasileirão 2021 ,"06 de junho de 2021, 16:00",América-MG,0,1,Corinthians,"Independência, Belo Horizonte, MG."
Copa do Brasil 2021 ,"02 de junho de 2021, 21:30",Corinthians,0,2,Atlético-GO,"Neo Química Arena, São Paulo, SP."
Brasileirão 2021 ,"30 de maio de 2021, 18:15",Corinthians,0,1,Atlético-GO,"Neo Química Arena, São Paulo, SP."
Sul-Americana 2021 ,"26 de maio de 2021, 21:30",Corinthians,4,0,River Plate-PAR,"Neo Química Arena, São Paulo, SP."
Sul-Americana 2021 ,"20 de maio de 2021, 21:30",Corinthians,5,0,Sport Huancayo,"Neo Química Arena, São Paulo, SP."
Paulista 2021 ,"16 de maio de 2021, 16:00",Corinthians,0,2,Palmeiras,"Neo Química Arena, São Paulo, SP."
Sul-Americana 2021 ,"13 de maio de 2021, 21:30",Peñarol,4,0,Corinthians,"Campeón del Siglo, Montevideo, Uruguai."
Paulista 2021 ,"11 de maio de 2021, 16:00",Corinthians,4,1,Inter de Limeira,"Neo Química Arena, São Paulo, SP."
Paulista 2021 ,"09 de maio de 2021, 16:00",Corinthians,2,1,Novorizontino,"Neo Química Arena, São Paulo, SP."
Sul-Americana 2021 ,"06 de maio de 2021, 21:30",Sport Huancayo,0,3,Corinthians,"Nacional, Lima, Peru."
Paulista 2021 ,"02 de maio de 2021, 22:15",Corinthians,2,2,São Paulo,"Neo Química Arena, São Paulo, SP."
Sul-Americana 2021 ,"29 de abril de 2021, 19:15",Corinthians,0,2,Peñarol,"Neo Química Arena, São Paulo, SP."
Paulista 2021 ,"25 de abril de 2021, 20:00",Santos,0,2,Corinthians,"Vila Belmiro, Santos, SP."
Sul-Americana 2021 ,"22 de abril de 2021, 21:30",River Plate-PAR,0,0,Corinthians,"Defensores, Assunção, Paraguai."
Paulista 2021 ,"18 de abril de 2021, 22:00",Corinthians,2,0,Ituano,"Neo Química Arena, São Paulo, SP."
Paulista 2021 ,"16 de abril de 2021, 20:00",Corinthians,1,1,São Bento,"Neo Química Arena, São Paulo, SP."
Paulista 2021 ,"13 de abril de 2021, 20:00",Ferroviária,2,1,Corinthians,"Fonte Luminosa, Araraquara, SP."
Paulista 2021 ,"11 de abril de 2021, 20:00",Guarani,0,1,Corinthians,"Brinco de Ouro, Campinas, SP."
Copa do Brasil 2021 ,"26 de março de 2021, 21:30",Corinthians,1,1,Retrô FC,"Elcyr Resende de Mendonça, Saquarema, RJ."
Paulista 2021 ,"23 de março de 2021, 21:00",Mirassol,0,1,Corinthians,"Raulino de Oliveira, Volta Redonda, RJ."
Copa do Brasil 2021 ,"17 de março de 2021, 21:30",Salgueiro,0,3,Corinthians,"Salgueirão, Salgueiro, PE."
Paulista 2021 ,"14 de março de 2021, 19:00",São Caetano,0,1,Corinthians,"Anacleto, São Caetano do Sul, SP."
Paulista 2021 ,"07 de março de 2021, 11:00",Corinthians,2,1,Ponte Preta,"Neo Química Arena, São Paulo, SP."
Paulista 2021 ,"03 de março de 2021, 19:00",Corinthians,2,2,Palmeiras,"Neo Química Arena, São Paulo, SP."
Paulista 2021 ,"28 de fevereiro de 2021, 18:00",Red Bull Bragantino,0,0,Corinthians,"Nabi Abi, Bragança Paulista, SP."
Brasileirão 2020 ,"25 de fevereiro de 2021, 21:30",Internacional,0,0,Corinthians,"Beira Rio, Porto Alegre, RS."
Brasileirão 2020 ,"21 de fevereiro de 2021, 16:00",Corinthians,0,0,Vasco da Gama,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"17 de fevereiro de 2021, 19:00",Santos,1,0,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2020 ,"14 de fevereiro de 2021, 16:00",Flamengo,2,1,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2020 ,"10 de fevereiro de 2021, 21:30",Corinthians,3,3,Athletico-PR,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"03 de fevereiro de 2021, 21:30",Corinthians,2,1,Ceará,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"28 de janeiro de 2021, 19:00",Bahia,2,1,Corinthians,"Fonte Nova, Salvador, BA."
Brasileirão 2020 ,"25 de janeiro de 2021, 20:00",Corinthians,0,2,Red Bull Bragantino,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"21 de janeiro de 2021, 21:00",Corinthians,3,0,Sport,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"18 de janeiro de 2021, 19:00",Palmeiras,4,0,Corinthians,"Allianz Parque, São Paulo, SP."
Brasileirão 2020 ,"13 de janeiro de 2021, 21:30",Corinthians,5,0,Fluminense,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"27 de dezembro de 2020, 16:00",Botafogo,0,2,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2020 ,"21 de dezembro de 2020, 20:00",Corinthians,2,1,Goiás,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"13 de dezembro de 2020, 18:15",Corinthians,1,0,São Paulo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"02 de dezembro de 2020, 21:30",Fortaleza,0,0,Corinthians,"Castelão, Fortaleza, CE."
Brasileirão 2020 ,"25 de novembro de 2020, 21:30",Coritiba,0,1,Corinthians,"Couto Pereira, Curitiba, PR."
Brasileirão 2020 ,"22 de novembro de 2020, 20:30",Corinthians,0,0,Grêmio,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"14 de novembro de 2020, 19:00",Corinthians,1,2,Atlético-MG,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"07 de novembro de 2020, 21:00",Atlético-GO,1,1,Corinthians,"Estádio Olímpico-GO, Goiânia, GO."
Copa do Brasil 2020 ,"04 de novembro de 2020, 21:30",América-MG,1,1,Corinthians,"Independência, Belo Horizonte, MG."
Brasileirão 2020 ,"31 de outubro de 2020, 19:00",Corinthians,1,0,Internacional,"Neo Química Arena, São Paulo, SP."
Copa do Brasil 2020 ,"28 de outubro de 2020, 21:30",Corinthians,0,1,América-MG,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"21 de outubro de 2020, 21:30",Vasco da Gama,1,2,Corinthians,"São Januário, Rio de Janeiro, RJ."
Brasileirão 2020 ,"18 de outubro de 2020, 16:00",Corinthians,1,5,Flamengo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"14 de outubro de 2020, 21:30",Athletico-PR,0,1,Corinthians,"Arena da Baixada, Curitiba, PR."
Brasileirão 2020 ,"11 de outubro de 2020, 20:30",Ceará,2,1,Corinthians,"Castelão, Fortaleza, CE."
Brasileirão 2020 ,"07 de outubro de 2020, 19:00",Corinthians,1,1,Santos,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"03 de outubro de 2020, 21:00",Red Bull Bragantino,0,0,Corinthians,"Nabi Abi, Bragança Paulista, SP."
Brasileirão 2020 ,"30 de setembro de 2020, 21:30",Corinthians,0,0,Atlético-GO,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"23 de setembro de 2020, 21:30",Sport,1,0,Corinthians,"Ilha do Retiro, Recife, PE."
Brasileirão 2020 ,"16 de setembro de 2020, 21:30",Corinthians,3,2,Bahia,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"13 de setembro de 2020, 16:00",Fluminense,2,1,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Brasileirão 2020 ,"10 de setembro de 2020, 19:15",Corinthians,0,2,Palmeiras,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"05 de setembro de 2020, 19:00",Corinthians,2,2,Botafogo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"02 de setembro de 2020, 19:15",Goiás,1,2,Corinthians,"Estádio da Serrinha, Goiânia, GO."
Brasileirão 2020 ,"30 de agosto de 2020, 11:00",São Paulo,2,1,Corinthians,"Morumbi, São Paulo, SP."
Brasileirão 2020 ,"26 de agosto de 2020, 21:30",Corinthians,1,1,Fortaleza,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"19 de agosto de 2020, 21:30",Corinthians,3,1,Coritiba,"Neo Química Arena, São Paulo, SP."
Brasileirão 2020 ,"15 de agosto de 2020, 19:00",Grêmio,0,0,Corinthians,"Arena do Grêmio, Porto Alegre, RS."
Brasileirão 2020 ,"12 de agosto de 2020, 19:15",Atlético-MG,3,2,Corinthians,"Mineirão, Belo Horizonte, MG."
Paulista 2020 ,"08 de agosto de 2020, 16:30",Palmeiras,1,1,Corinthians,"Allianz Parque, São Paulo, SP."
Paulista 2020 ,"05 de agosto de 2020, 21:30",Corinthians,0,0,Palmeiras,"Neo Química Arena, São Paulo, SP."
Paulista 2020 ,"02 de agosto de 2020, 16:00",Corinthians,1,0,Mirassol,"Neo Química Arena, São Paulo, SP."
Paulista 2020 ,"30 de julho de 2020, 19:00",Red Bull Bragantino,0,2,Corinthians,"Morumbi, São Paulo, SP."
